55.57,-26.27,2.72,55.57,-27.95,2.88,1.6876018488,0.79,0.7712,3.59,0.82
55.57,-26.13,2.71,55.57,-28.09,2.89,1.9682479519,0.92,0.9021,4.36,1.08
55.57,-26.01,2.7,55.57,-28.21,2.9,2.2090722034,1.03,1.015,4.8,1.24
55.57,-25.91,2.69,55.57,-28.31,2.91,2.4100622399,1.13,1.1096,5.36,1.29
55.58,-25.65,2.67,55.56,-28.57,2.93,2.9316207122,1.37,1.3572,6.41,1.06
55.49,-26.67,2.05,55.45,-28.27,2.15,1.6036209028,0.74,0.7287,3.45,0.78
55.49,-26.46,2.04,55.45,-28.48,2.16,2.0239565213,0.94,0.9233,4.42,1.16
55.5,-26.37,2.03,55.44,-28.57,2.17,2.2052664238,1.03,1.0084,4.53,1.26
55.5,-26.26,2.02,55.44,-28.68,2.18,2.4260255563,1.13,1.1116,4.85,1.29
55.5,-26,2.01,55.44,-28.94,2.19,2.9461160873,1.37,1.3567,5.71,1
55.88,-27.11,3.14,55.88,-27.31,2.38,0.7858753082,0.53,0.5535,3.45,0.62
55.87,-27.07,3.26,55.89,-27.35,2.26,1.0386529738,0.71,0.7308,4.36,1.08
55.87,-27.05,3.36,55.89,-27.37,2.16,1.2420950044,0.84,0.8751,4.95,1.28
55.87,-27.01,3.49,55.89,-27.41,2.03,1.5139352694,1.02,1.0661,5.52,1.13
55.87,-26.97,3.63,55.89,-27.45,1.89,1.8051038751,1.23,1.2711,6.41,0.62
55.87,-26.93,3.77,55.89,-27.49,1.75,2.0962824237,1.42,1.4763,7.05,0.21
55.89,-27.32,2.37,55.91,-27.54,1.59,0.810678728,0.55,0.5675,3.72,0.67
55.89,-27.3,2.48,55.91,-27.56,1.48,1.0334408546,0.7,0.7252,4.64,1.07
55.89,-27.27,2.57,55.91,-27.59,1.39,1.2227837094,0.84,0.8572,5.05,1.28
55.89,-27.23,2.73,55.91,-27.63,1.23,1.5525462956,1.06,1.0891,5.71,1.07
55.89,-27.2,2.81,55.91,-27.66,1.15,1.7226723426,1.18,1.2074,6.55,0.78
55.64,-26.72,3.09,55.62,-27.78,2.43,1.2488394613,0.7,0.7044,3.45,0.95
55.64,-26.63,3.15,55.62,-27.87,2.37,1.4650597257,0.82,0.8291,4.36,1.2
55.64,-26.53,3.21,55.62,-27.97,2.31,1.6982343772,0.96,0.961,5.2,1.29
55.64,-26.4,3.29,55.62,-28.1,2.23,2.0034969428,1.12,1.1352,5.84,1.09
55.64,-26.35,3.33,55.62,-28.15,2.19,2.1307275753,1.19,1.212,6.75,0.91
55.66,-27.15,2.28,55.62,-28.09,1.66,1.1267652817,0.62,0.632,3.92,0.8
55.67,-26.98,2.39,55.61,-28.26,1.56,1.5267285286,0.85,0.8556,4.29,1.25
55.67,-26.91,2.43,55.61,-28.33,1.51,1.6930445948,0.94,0.9492,5.15,1.29
55.68,-26.7,2.57,55.6,-28.54,1.37,2.1981810662,1.22,1.2378,6.08,0.79
55.68,-26.7,2.57,55.6,-28.54,1.37,2.1981810662,1.22,1.2378,5.31,0.79
55.59,-27.41,3.19,55.53,-26.71,2.41,1.0497618778,0.61,0.6094,2.95,0.58
55.59,-27.47,3.25,55.53,-26.65,2.35,1.2190159966,0.7,0.7041,3.45,0.81
55.6,-27.57,3.37,55.52,-26.55,2.23,1.5317963311,0.88,0.8873,4.08,1.18
55.61,-27.64,3.45,55.51,-26.48,2.15,1.7451647487,1,1.011,4.75,1.29
55.61,-27.7,3.52,55.51,-26.42,2.08,1.9292485584,1.11,1.1169,5.52,1.25
55.62,-27.78,3.6,55.5,-26.34,2,2.1559220765,1.23,1.2437,6.41,1.05
55.65,-27.73,2.58,55.57,-26.93,1.72,1.1772850122,0.67,0.6841,3.92,0.73
55.66,-27.87,2.73,55.56,-26.79,1.57,1.5880806025,0.92,0.9201,4.59,1.21
55.67,-27.93,2.8,55.55,-26.73,1.5,1.7732456119,1.03,1.0291,4.9,1.29
55.67,-27.99,2.86,55.55,-26.67,1.44,1.942472651,1.12,1.1238,5.1,1.26
55.68,-28.05,2.92,55.54,-26.61,1.38,2.1130073355,1.22,1.2205,5.52,1.14
55.69,-28.18,3.06,55.53,-26.48,1.24,2.4955961212,1.44,1.4387,6.28,0.66
55.92,-27.95,2.46,55.4,-28.61,2,0.9579144012,0.66,0.6892,4.16,0.92
56,-27.85,2.53,55.32,-28.71,1.93,1.249799984,0.86,0.9006,4.9,1.28
56.05,-27.79,2.58,55.27,-28.77,1.88,1.4348519087,0.99,1.0362,5.36,1.24
56.07,-27.76,2.59,55.25,-28.8,1.87,1.5074481749,1.05,1.0859,5.58,1.16
56.15,-27.67,2.66,55.17,-28.89,1.8,1.7856091398,1.24,1.2936,6.75,0.68
55.88,-28.43,2.58,55.32,-27.99,2,0.9184770003,0.68,0.7093,2.95,0.65
55.97,-28.49,2.67,55.23,-27.93,1.91,1.1994998958,0.89,0.9324,3.72,1.1
56.07,-28.57,2.78,55.13,-27.85,1.8,1.5370100845,1.14,1.1903,4.85,1.28
56.09,-28.59,2.79,55.11,-27.83,1.79,1.5931101657,1.18,1.2334,5.84,1.26
56.14,-28.63,2.85,55.06,-27.79,1.73,1.7681628884,1.31,1.3661,6.28,1.08
55.19,-27.79,2.38,55.69,-28.39,2.06,0.8440379138,0.59,0.6174,4.01,0.71
55.14,-27.72,2.42,55.74,-28.46,2.02,1.0332473082,0.73,0.7499,4.36,1.04
55.1,-27.68,2.45,55.78,-28.5,1.99,1.1603447763,0.81,0.8481,4.8,1.22
55.04,-27.61,2.48,55.84,-28.57,1.96,1.3535139453,0.95,0.9911,5.1,1.29
54.97,-27.51,2.54,55.91,-28.67,1.91,1.6205246064,1.14,1.1772,5.58,1.01
54.92,-27.46,2.56,55.96,-28.72,1.88,1.7696327303,1.24,1.293,6.41,0.73
55.79,-27.88,2.02,55.27,-28.42,2.54,0.9123595782,0.65,0.6696,4.16,1.04
55.86,-27.81,1.95,55.2,-28.5,2.61,1.1607325273,0.82,0.8508,5,1.29
55.96,-27.71,1.86,55.1,-28.59,2.7,1.4898322053,1.05,1.0994,5.99,0.87
55.94,-27.73,1.88,55.12,-28.57,2.68,1.4205632686,1,1.0479,5.71,1.01
55.97,-27.69,1.85,55.09,-28.61,2.71,1.536359333,1.08,1.128,6.75,0.79
63.67,12.37,20.92,63.41,12.35,20.9,0.2615339366,0.23,0.2604,2.95,0
63.78,12.38,20.93,63.3,12.34,20.89,0.4833218389,0.41,0.4808,3.45,0
63.9,12.39,20.94,63.18,12.33,20.88,0.7249827584,0.61,0.7212,4.16,0
64.02,12.4,20.95,63.06,12.32,20.87,0.9666436779,0.8,0.9616,5.2,6.05
64.17,12.41,20.96,62.91,12.31,20.86,1.2679116688,1.05,1.262,6.55,0
63.65,12.76,20.9,63.69,11.98,20.82,0.7851114571,0.62,0.5131,2.95,0
63.64,12.99,20.93,63.7,11.75,20.79,1.2493198149,0.99,0.8119,4.42,2.4
63.63,13.13,20.94,63.71,11.61,20.78,1.5304901176,1.22,0.9965,5.52,0.82
63.63,13.28,20.96,63.71,11.46,20.76,1.8327029219,1.47,1.1893,6.75,0
63.62,13.38,20.97,63.72,11.36,20.75,2.0344040897,1.63,1.3201,7.05,0
63.96,12.31,21.1,63.9,12.19,20.18,0.9297311439,0.51,0.4903,3.25,0
63.97,12.34,21.32,63.89,12.16,19.96,1.3741906709,0.76,0.7207,4.23,1.19
63.97,12.36,21.41,63.89,12.14,19.87,1.5576905983,0.86,0.8115,4.95,6.71
63.98,12.38,21.55,63.88,12.12,19.73,1.841195264,1.02,0.9573,5.47,0.05
63.98,12.38,21.6,63.88,12.12,19.68,1.94010309,1.08,1.0106,5.92,0
63.6,12.54,21.08,63.62,11.82,20.44,0.9635351576,0.54,0.4872,2.95,0
63.6,12.64,21.16,63.62,11.72,20.36,1.219344086,0.69,0.6174,4.42,0
63.59,12.84,21.34,63.63,11.52,20.18,1.7577258034,0.99,0.8843,5.47,5.7
63.59,12.93,21.42,63.63,11.43,20.1,1.9984994371,1.12,1.0028,5.77,0.1
63.59,13.03,21.5,63.63,11.33,20.02,2.2543291685,1.27,1.1307,6.55,0
63.72,12.49,20.45,63.78,11.85,21.01,0.8525256594,0.76,0.6222,3.45,0
63.71,12.57,20.37,63.79,11.77,21.09,1.0792590051,0.96,0.7869,4.59,2.37
63.71,12.64,20.32,63.79,11.7,21.14,1.2499599994,1.11,0.9124,5.77,4.11
63.7,12.71,20.25,63.8,11.63,21.21,1.4484474447,1.29,1.0568,6.55,0.01
63.37,13.18,20.48,62.69,12.42,19.7,1.2839003077,0.81,0.8646,4.29,0.97
63.4,13.22,20.52,62.66,12.38,19.66,1.4116656828,0.9,0.9458,4.9,5.71
63.48,13.3,20.6,62.58,12.3,19.58,1.6883127672,1.07,1.1393,5.52,0.16
63.51,13.34,20.64,62.55,12.26,19.54,1.8160396471,1.16,1.2203,5.92,0
63.55,13.39,20.69,62.51,12.21,19.49,1.9783831783,1.25,1.3252,6.28,0
60.75,13.46,21.34,60.25,13.86,21.06,0.6988562084,0.61,0.6127,3.45,0
60.81,13.42,21.37,60.19,13.9,21.03,0.8546344248,0.76,0.7525,3.92,0.03
60.84,13.39,21.39,60.16,13.93,21.01,0.9478396489,0.83,0.8316,4.64,1.2
60.93,13.32,21.44,60.07,14,20.96,1.196829144,1.05,1.0506,5.84,0.83
